,Recency,Recency,Recency,Frequency,Frequency,Frequency,Monetary,Monetary,Monetary
,mean,median,count,mean,median,count,mean,median,count
Segment,,,,,,,,,
About to Sleep,25.11111111111111,25.0,27,7.2592592592592595,8.0,27,185296.2962962963,177000.0,27
At Risk,60.2,48.0,55,10.781818181818181,11.0,55,297909.0909090909,302000.0,55
Can't Loose,54.26315789473684,53.0,19,14.473684210526315,15.0,19,410105.2631578947,398000.0,19
Champions,4.3023255813953485,4.0,43,13.13953488372093,13.0,43,359720.93023255817,357000.0,43
Hibernating,77.17441860465117,66.5,86,6.534883720930233,6.0,86,178732.55813953487,173000.0,86
Loyal Customers,18.083333333333332,18.0,72,13.166666666666666,13.0,72,365152.77777777775,361000.0,72
Need Attention,24.88888888888889,24.5,18,9.88888888888889,10.0,18,287166.6666666667,292000.0,18
New Customers,5.0,4.5,12,5.666666666666667,5.5,12,180833.33333333334,184000.0,12
Potential Loyalists,7.456140350877193,7.0,57,9.192982456140351,9.0,57,241157.8947368421,236000.0,57
Promising,14.545454545454545,15.0,11,5.909090909090909,6.0,11,162909.0909090909,150000.0,11
